BenSampID,Station_ID,Region,DistCat,Longitude,Latitude,IBI_Score,CollDate,SC_pt_POET,SC_pt_ffg_pred,SC_pt_NonIns,SC_pi_OET,SC_pt_tv_toler,SC_pt_volt_semi,SubCatAreaSqKm,WsAreaSqKm,ExactDrArea_km2,pcSLOPE,SLOPE,Velocity,SandSiltClay,sinuosity_1,ElevCat,BFICat,MSST_avg,Precip8110Cat,Precip8110Ws,Tmax8110Cat,Tmax8110Ws,Tmean8110Cat,Tmean8110Ws,Tmin8110Cat,Tmin8110Ws,PctWetWat2016Cat,PctWetWat2016Ws,PctFrst2016Cat,PctFrst2016WS,ICI_21,IWI_21,PctUrbMax,PctUrbLMH2016Cat,PctUrbLMH2016Ws,pcUrb_WsExact,pcUrb_1000m,PctAgMax,PctHayCrop2016Cat,PctHayCrop2016Ws,pcAg_WsExact,pcAg_1000m,AllAgNMax,AllAgNCat,AllAgNWs,RdDensMax,RdDensCat,RdDensWs,DamMax,DamNrmStorCat,DamNrmStorWs,CanalDensCat,CanalDensWs,MineDensCat,MineDensWs,NPDESDensCat,NPDESDensWs,SuperfundDensCat,SuperfundDensWs,TRIDensCat,TRIDensWs,WoodJabs,SubmergeVegJabs,VegMarginBankJabs,HardBottomJabs,NumHabitats,AvailCover,PoolSubstrat,PoolVariable,SedDeposit,ChannelFlow,ChannelAlt,sinuosity,LBStability,RBStability,LBVegProtect,RBVegProtect,LBRiparVeg,RBRiparVeg,HabitatScore,RifflePct,RunPct,GlidePct,PoolPct,CanopyCover,WidthMean,DepthMean,Temperature,SpecConductivity,DO,pH,sin500m,sin1000m,NHD_sinuosity,pcSlp500m,pcSlp1000m,NHD_pcSLOPE,ni_total,ni_Chiro,ni_EPT,ni_Trich,nt_total,nt_Amph,nt_Bival,nt_Coleo,nt_COET,nt_CruMol,nt_Dipt,nt_Ephem,nt_Ephemerellid,nt_EPT,nt_ET,nt_Gast,nt_Hepta,nt_Insect,nt_Isop,nt_Mega,nt_Nemour,nt_NonIns,nt_Odon,nt_OET,nt_Oligo,nt_Perlid,nt_Pleco,nt_POET,nt_Ptero,nt_Rhya,nt_Tipulid,nt_Trich,nt_Tromb,pi_Amph,pi_AmphIsop,pi_Baet,pi_Bival,pi_Caen,pi_Coleo,pi_COET,pi_Corb,pi_Cru,pi_CruMol,pi_Dipt,pi_Ephem,pi_EphemNoCae,pi_EphemNoCaeBae,pi_EPT,pi_ET,pi_Gast,pi_Hydro,pi_Hydro2EPT,pi_Hydro2Trich,pi_Insect,pi_Isop,pi_Mega,pi_Mol,pi_NonIns,pi_Odon,pi_OET,pi_Oligo,pi_Pleco,pi_POET,pi_Trich,pi_TricNoHydro,pt_Amph,pt_Bival,pt_Coleo,pt_COET,pt_Dipt,pt_Ephem,pt_EPT,pt_ET,pt_Gast,pt_Insect,pt_Isop,pt_Mega,pt_NonIns,pt_Odon,pt_OET,pt_Oligo,pt_Pleco,pt_POET,pt_Trich,nt_Chiro,pi_Chiro,pt_Chiro,pi_Tanyt,pi_Tanyp,pi_COC2Chi,pi_ChCr2Chi,pi_Orth2Chi,pi_Tanyp2Chi,pi_SimBtri,pi_Colesens,nt_ffg_col,nt_ffg_filt,nt_ffg_pred,nt_ffg_scrap,nt_ffg_shred,pi_ffg_col,pi_ffg_filt,pi_ffg_pred,pi_ffg_scrap,pi_ffg_shred,pt_ffg_col,pt_ffg_filt,pt_ffg_pred,pt_ffg_scrap,pt_ffg_shred,nt_habit_burrow,nt_habit_climb,nt_habit_cling,nt_habit_sprawl,nt_habit_swim,pi_habit_burrow,pi_habit_climb,pi_habit_cling,pi_habit_sprawl,pi_habit_swim,pt_habit_burrow,pt_habit_climb,pt_habit_cling,pt_habit_sprawl,pt_habit_swim,pi_dom01,pi_dom02,pi_dom03,pi_dom04,pi_dom05,x_Shan_2,x_D,x_D_G,x_D_Mg,x_Evenness
19-126-04,CP-Best-P15,SNEP,Ref,-71.720511,41.574557,72.83847536,8/24/2019,65.2173913,76.99275362,54.31331953,53.37519623,87.13219148,100,0.5022,91.7811,91.081726,0.098604,0.00098604,0.22,75,1.21,42.23781362,65,18.86356792,1223.212552,1227.714261,15.48393865,15.20090689,10.28562665,9.767524471,5.080298337,4.328962404,37.09677419,14,48.028674,77.067828,0.571287469,0.7550622,4.121863799,4.121863799,1.300267702,1.278618223,3.044871795,3.241843909,0,3.241843909,3.268677806,0,6.808243728,6.808243728,3.111974034,3.289783803,3.289783803,1.683368746,9407.557765,0,9407.557765,0,0,0,0,0,0,0,0,0,0,6,0,1,3,3,13,11,11,9,18,20,7,5,6,5,6,10,10,131,0,5,95,0,85,10.03333333,0.226666667,17.1,0.057,9,5.53,1.082791228,1.12905744,1.21,0.037899996,0.135270003,0.098604,325,150,76,25,69,1,2,5,22,7,30,5,1,14,13,4,1,54,0,1,0,15,4,17,4,0,1,18,0,1,0,8,4,0.307692308,0.307692308,0.615384615,2.461538462,0,8.307692308,34.46153846,0,0.307692308,4,53.53846154,15.07692308,15.07692308,14.46153846,23.38461538,22.76923077,1.230769231,2.769230769,11.84210526,36,89.53846154,0,0.923076923,3.692307692,10.46153846,3.384615385,26.15384615,4.307692308,0.615384615,26.76923077,7.692307692,4.923076923,1.449275362,2.898550725,7.246376812,31.88405797,43.47826087,7.246376812,20.28985507,18.84057971,5.797101449,78.26086957,0,1.449275362,21.73913043,5.797101449,24.63768116,5.797101449,1.449275362,26.08695652,11.5942029,26,46.15384615,37.68115942,17.53846154,1.538461538,5.333333333,2.666666667,18.66666667,3.333333333,0.923076923,8.307692308,20,11,12,6,6,24.30769231,34.46153846,13.23076923,4.923076923,9.846153846,28.98550725,15.94202899,17.39130435,8.695652174,8.695652174,9,7,19,14,2,7.692307692,4.307692308,54.76923077,15.38461538,4.615384615,13.04347826,10.14492754,27.53623188,20.28985507,2.898550725,13.84615385,21.53846154,28.30769231,34.15384615,38.46153846,5.351841531,0.955910059,11.92982115,11.75692519,0.876126726
19-126-07,CP-Best-P5,SNEP,Ref,-71.727231,41.56443,77.90650007,8/24/2019,68.18181818,62.5,66.23376623,100,70.52341598,100,1.476,18.4617,17.108739,0.270693,0.00270693,0.092093023,45,1.17,53.23729878,65.02012195,17.69874939,1223.004612,1215.991401,15.4575427,15.28974433,10.2378066,9.913832466,5.013861652,4.534350297,19.32926829,16,70.426829,78.150441,0.6996131,0.79132216,2.743902439,2.743902439,1.013991128,0.888959024,0.916030534,1.34061327,1.2195122,1.34061327,1.37288938,0.610687023,5.511585366,5.511585366,3.18510213,2.530206562,2.530206562,1.412283728,8685.679,0,8685.679,0,0,0,0,0,0,0,0,0,0,3,0,1,6,3,,,,,,,,,,,,,,,0,0,90,10,100,6.833333333,0.443333333,19.1,0.058,7.1,5.89,1.138418539,1.124934338,1.17,0.536379971,1.62181999,0.270693,312,102,154,23,56,0,2,5,20,3,24,4,1,13,13,1,1,45,0,1,0,11,2,15,6,0,0,15,0,0,0,9,2,0,0,0,5.448717949,0,5.448717949,55.44871795,0,0,6.08974359,34.29487179,41.98717949,41.98717949,41.98717949,49.35897436,49.35897436,0.641025641,0.641025641,1.298701299,8.695652174,90.06410256,0,0.320512821,6.08974359,9.935897436,0.641025641,50,3.205128205,0,50,7.371794872,6.730769231,0,3.571428571,8.928571429,35.71428571,42.85714286,7.142857143,23.21428571,23.21428571,1.785714286,80.35714286,0,1.785714286,19.64285714,3.571428571,26.78571429,10.71428571,0,26.78571429,16.07142857,22,32.69230769,39.28571429,17.62820513,1.923076923,0.980392157,0,13.7254902,5.882352941,0.320512821,5.448717949,17,9,10,5,4,53.52564103,19.23076923,5.769230769,5.128205128,3.205128205,30.35714286,16.07142857,17.85714286,8.928571429,7.142857143,9,5,16,11,1,9.294871795,5.128205128,43.58974359,7.051282051,18.91025641,16.07142857,8.928571429,28.57142857,19.64285714,1.785714286,18.58974359,35.8974359,46.47435897,50.96153846,55.12820513,4.505986627,0.913379356,9.750995806,9.576870881,0.775910322
19-126-50,NEW-BROC3,SNEP,MidStrs,-70.977109,42.100901,28.33302051,8/31/2019,16.66666667,72.91666667,14.28571429,27.74523707,38.38383838,0,4.2282,13.3119,12.6056,0.130976,0.00130976,,70,1.09,47.3107152,54.2443593,20.94545438,1259.620762,1258.417107,15.61992298,15.56026631,9.992721232,10.00312592,4.36032852,4.439841661,20.15751384,19,33.929332,46.42012,0.683717711,0.690080014,31.69433802,31.69433802,24.19714691,22.57834249,23.30163043,0.03380434,0,0.03380434,0.035691341,0,0.449553001,0.449553001,0.289365154,4.596561423,4.596561423,3.634916959,47719.8747,16044.98368,47719.8747,0,0,0,0,0,0,0,0,0,0,8,0,0,2,2,12,10,18,9,16,15,7,5,7,6,8,10,10,133,0,40,25,35,75,3.733333333,0.25,19.9,0.325,11.2,6.7,1.072444292,1.057713711,1.09,0.395099973,0.322490006,0.130976,331,24,44,0,30,1,2,0,2,6,16,1,0,1,1,2,0,18,1,0,0,12,1,2,3,0,0,2,0,0,0,0,2,9.667673716,54.98489426,0,16.918429,0,0,13.59516616,0,54.98489426,73.41389728,8.157099698,13.29305136,13.29305136,13.29305136,13.29305136,13.29305136,1.510574018,0,0,0,21.75226586,45.31722054,0,18.42900302,78.24773414,0.302114804,13.59516616,3.927492447,0,13.59516616,0,0,3.333333333,6.666666667,0,6.666666667,53.33333333,3.333333333,3.333333333,3.333333333,6.666666667,60,3.333333333,0,40,3.333333333,6.666666667,10,0,6.666666667,0,13,7.250755287,43.33333333,1.208459215,1.812688822,12.5,12.5,8.333333333,25,0,0,5,8,6,2,1,57.40181269,13.59516616,3.021148036,1.510574018,1.208459215,16.66666667,26.66666667,20,6.666666667,3.333333333,4,3,6,6,1,13.29305136,1.812688822,3.32326284,57.40181269,0.302114804,13.33333333,10,20,20,3.333333333,45.31722054,58.6102719,68.27794562,75.83081571,81.57099698,2.99034391,0.756090215,5.170525325,4.998174481,0.609417278
19-126-58,CP-Best-R4,SNEP,Ref,-71.627189,42.181874,70.11625119,9/2/2019,58.13953488,87.20930233,54.15282392,82.15426746,80.90204369,58.13953488,1.0728,33.165,0.2191,0.618904,0.00618904,0.076153846,15,1.13,113.6671225,54,19.39542885,1232.576981,1229.693517,15.19980055,14.98691029,9.361917335,9.273918991,3.51761574,3.555528285,6.627516779,12,69.211409,70.550882,0.688230066,0.683732712,13.84228188,13.84228188,5.449118046,1.234567901,1.239669421,3.801899593,1.00671141,3.801899593,0,0,3.29036635,0.545302013,3.29036635,3.992191088,3.992191088,2.712278508,10339.43736,0,10339.43736,0,0,0,0,0,0,0,0,0,0,3,0,5,2,3,19,16,19,16,15,20,13,9,9,9,9,10,10,174,15,25,35,25,86,4.3,0.31,20.3,0.136,4.3,6.38,1.55824474,1.247673386,1.13,0.627320046,0.504619993,0.618904,313,137,122,17,43,1,2,1,11,4,20,3,1,9,9,0,1,33,1,2,0,10,1,10,6,0,0,10,0,0,0,6,0,4.47284345,5.750798722,0,3.514376997,0,1.277955272,41.53354633,0,5.750798722,9.265175719,44.40894569,33.54632588,33.54632588,33.54632588,38.97763578,38.97763578,0,1.916932907,4.918032787,35.29411765,87.22044728,1.277955272,1.277955272,3.514376997,12.77955272,1.277955272,40.25559105,3.514376997,0,40.25559105,5.431309904,3.514376997,2.325581395,4.651162791,2.325581395,25.58139535,46.51162791,6.976744186,20.93023256,20.93023256,0,76.74418605,2.325581395,4.651162791,23.25581395,2.325581395,23.25581395,13.95348837,0,23.25581395,13.95348837,18,43.76996805,41.86046512,11.18210863,7.987220447,0,0,4.379562044,18.24817518,0.319488818,1.277955272,13,9,11,1,3,55.2715655,16.61341853,12.77955272,2.875399361,3.514376997,30.23255814,20.93023256,25.58139535,2.325581395,6.976744186,6,2,15,11,1,20.12779553,1.597444089,40.89456869,15.33546326,10.86261981,13.95348837,4.651162791,34.88372093,25.58139535,2.325581395,17.25239617,33.8658147,44.40894569,54.31309904,60.06389776,4.331693245,0.911839459,7.483202138,7.309174181,0.798282694
2013032,B0835,SNEP,MidStrs,-71.216586,42.061126,44.04732609,7/23/2013,53.57142857,52.08333333,35.8276644,51.589409,51.37085137,19.84126984,3.5028,17.1108,14.4204,0.27559,0.0027559,,95,1.19,70.39011305,55.23843782,19.15613039,1268.403323,1267.441272,15.55985544,15.45471466,9.80489959,9.793071973,4.043615391,4.126140279,20.34943474,20,37.641316,34.6255,0.667447406,0.588600042,26.74626552,26.10483042,26.74626552,26.68246741,20.63933287,3.513570377,1.59301131,3.513570377,3.948107029,1.876302988,1.664953751,1.664953751,1.51988218,5.023683517,4.481949659,5.023683517,31862.80945,0,31862.80945,0,0,0,0,0,0,0,0.058442621,0,0.058442621,6,2,2,0,3,17,16,2,17,20,20,11,10,10,10,10,10,10,163,,,,,,,,,,,,1.058561622,1.277450711,1.19,0.343240029,0.262689992,0.27559,272,78,37,28,42,2,1,2,10,6,18,3,0,7,6,2,1,30,1,0,0,12,2,8,5,0,1,9,0,0,0,3,1,19.85294118,22.42647059,0.367647059,1.102941176,0,1.470588235,26.47058824,0,22.42647059,25.36764706,35.66176471,2.941176471,2.941176471,2.573529412,13.60294118,13.23529412,1.838235294,5.514705882,40.54054054,53.57142857,63.60294118,2.573529412,0,2.941176471,36.39705882,11.76470588,25,10.66176471,0.367647059,25.36764706,10.29411765,4.779411765,4.761904762,2.380952381,4.761904762,23.80952381,42.85714286,7.142857143,16.66666667,14.28571429,4.761904762,71.42857143,2.380952381,0,28.57142857,4.761904762,19.04761905,11.9047619,2.380952381,21.42857143,7.142857143,14,28.67647059,33.33333333,13.23529412,2.205882353,0,0,26.92307692,7.692307692,4.779411765,1.470588235,16,6,8,4,5,44.11764706,21.69117647,17.27941176,7.352941176,5.514705882,38.0952381,14.28571429,19.04761905,9.523809524,11.9047619,8,5,11,12,0,17.64705882,15.07352941,27.94117647,33.45588235,0,19.04761905,11.9047619,26.19047619,28.57142857,0,18.75,29.77941176,35.29411765,40.44117647,45.22058824,4.647536429,0.932201557,7.492237418,7.313850813,0.861881092
19-126-01,CP-Best-P1,SNEP,Ref,-71.705661,42.008243,81.74708871,8/23/2019,71.42857143,84.32539683,86.84807256,58.02960162,89.85088985,100,1.0512,21.384,20.960793,0.120967,0.00120967,0.20625,20,1.11,135.8139127,52,20.08892247,1258.919627,1254.92626,15.01981657,14.71669207,9.415748894,9.24976597,3.807963019,3.776724727,21.91780822,12,69.263699,79.650673,0.871321225,0.82953229,1.662457912,1.626712329,1.662457912,1.614981531,1.220256254,1.308922559,0,1.308922559,1.370157203,1.769371568,1.216329966,0.085616438,1.216329966,1.79817245,1.640173312,1.79817245,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,3,18,16,15,16,16,20,12,8,8,9,8,10,10,166,15,20,20,45,95,6.633333333,0.503333333,22.2,0.097,7.4,6.13,1.139591,1.111652944,1.11,0.551960016,0.153279994,0.120967,313,158,95,69,62,0,1,8,24,1,30,4,1,14,12,0,1,57,0,1,0,5,4,16,3,1,2,18,0,0,2,8,1,0,0,0.319488818,0.638977636,0,7.987220447,36.42172524,0,0,0.638977636,55.91054313,4.47284345,4.47284345,4.153354633,30.3514377,26.51757188,0,5.750798722,18.94736842,26.08695652,97.76357827,0,1.597444089,0.638977636,2.236421725,1.916932907,28.43450479,1.277955272,3.833865815,32.26837061,22.04472843,16.29392971,0,1.612903226,12.90322581,38.70967742,48.38709677,6.451612903,22.58064516,19.35483871,0,91.93548387,0,1.612903226,8.064516129,6.451612903,25.80645161,4.838709677,3.225806452,29.03225806,12.90322581,22,50.47923323,35.48387097,23.96166134,3.194888179,1.265822785,0.632911392,16.4556962,6.329113924,1.916932907,7.667731629,15,8,15,5,5,11.50159744,39.93610224,12.4600639,6.389776358,17.8913738,24.19354839,12.90322581,24.19354839,8.064516129,8.064516129,7,3,21,13,1,2.555910543,1.597444089,67.41214058,14.69648562,0.638977636,11.29032258,4.838709677,33.87096774,20.96774194,1.612903226,12.77955272,25.23961661,36.10223642,41.53354633,46.96485623,4.936854545,0.940889465,10.78973332,10.61570536,0.829138693
19-126-02,CP-Best-P11,SNEP,Ref,-71.684199,42.021719,70.15170502,8/23/2019,78.57142857,53.57142857,75.51020408,21.48227712,91.77489177,100,2.3967,4.0986,3.2362,0.421701,0.00421701,0.168510638,35,1.28,159.3343297,52.4551258,19.06247602,1256.036147,1255.861205,14.83581809,14.8581867,9.369969373,9.386763727,3.89723959,3.909998147,17.98723244,19,60.157717,59.969258,0.750789116,0.726708009,2.239789196,1.802478408,2.239789196,2.395543175,2.202643172,2.854633289,0.41306797,2.854633289,3.621169916,0.528634361,1.888449715,0.244085618,1.888449715,2.344456756,2.344456756,2.32076645,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,2,,,,,,,,,,,,,,,5,0,85,10,100,3.6,0.22,20.3,0.131,6.5,3.95,1.102991612,1.324566037,1.28,0.960000091,1.125689926,0.421701,323,89,30,23,34,1,1,1,12,3,17,1,0,9,9,0,0,30,1,1,0,4,2,11,1,0,0,11,0,0,0,8,0,33.12693498,52.94117647,0,5.263157895,0,0.309597523,10.83591331,0,52.94117647,58.20433437,28.79256966,2.167182663,2.167182663,2.167182663,9.287925697,9.287925697,0,1.857585139,20,26.08695652,40.55727554,19.81424149,0.92879257,5.263157895,59.44272446,1.238390093,10.52631579,1.238390093,0,10.52631579,7.120743034,5.263157895,2.941176471,2.941176471,2.941176471,35.29411765,50,2.941176471,26.47058824,26.47058824,0,88.23529412,2.941176471,2.941176471,11.76470588,5.882352941,32.35294118,2.941176471,0,32.35294118,23.52941176,15,27.55417957,44.11764706,10.21671827,4.334365325,1.123595506,0,33.70786517,15.73033708,0.619195046,0.309597523,9,8,6,3,1,68.11145511,11.14551084,7.120743034,0.92879257,1.547987616,26.47058824,23.52941176,17.64705882,8.823529412,2.941176471,4,2,10,11,0,3.095975232,1.238390093,12.69349845,71.82662539,0,11.76470588,5.882352941,29.41176471,32.35294118,0,33.12693498,52.94117647,58.20433437,63.15789474,67.18266254,3.630410826,0.837964516,5.884743162,5.711662481,0.713599478
19-126-03,CP-Best-P2,SNEP,Ref,-71.695075,41.998161,80.12511194,8/23/2019,76.27118644,63.55932203,97.41727199,65.22862309,78.2742681,100,0.4158,25.9146,25.049807,0.99847,0.0099847,0.142446043,40,1.14,125.8527489,52,19.99035656,1262.042812,1255.757576,15.09763391,14.76448406,9.500271465,9.278979345,3.897730146,3.787775251,20.34632035,11,74.891775,79.707578,0.835940577,0.797014688,4.112554113,4.112554113,1.726054039,1.653427267,2.903600465,1.403070084,0.43290043,1.403070084,1.455734877,1.335656214,1.300618184,1.082251082,1.300618184,1.785148365,1.644410641,1.785148365,2379.893959,0,2379.893959,0,0,0,0,0,0,0,0,0,0,6,0,0,4,2,,,,,,,,,,,,,,,5,25,60,10,40,6.766666667,0.276666667,22.6,0.091,7.5,5.42,1.118731838,1.131426393,1.14,1.405220259,1.244299952,0.99847,316,181,89,21,59,0,0,7,24,1,30,6,1,16,15,1,2,56,0,1,0,3,2,17,2,1,1,18,0,0,1,9,0,0,0,3.164556962,0,0,6.012658228,37.97468354,0,0,0.632911392,59.49367089,21.20253165,21.20253165,18.03797468,28.16455696,27.84810127,0.632911392,2.215189873,7.865168539,33.33333333,98.10126582,0,0.316455696,0.632911392,1.898734177,4.113924051,31.96202532,1.265822785,0.316455696,32.27848101,6.64556962,4.430379747,0,0,11.86440678,40.6779661,50.84745763,10.16949153,27.11864407,25.42372881,1.694915254,94.91525424,0,1.694915254,5.084745763,3.389830508,28.81355932,3.389830508,1.694915254,30.50847458,15.25423729,28,57.27848101,47.45762712,31.01265823,6.962025316,2.209944751,2.209944751,5.524861878,12.15469613,1.898734177,6.012658228,17,9,10,6,5,30.69620253,28.79746835,12.65822785,8.860759494,7.594936709,28.81355932,15.25423729,16.94915254,10.16949153,8.474576271,6,5,25,7,2,6.329113924,4.746835443,53.79746835,8.860759494,4.113924051,10.16949153,8.474576271,42.37288136,11.86440678,3.389830508,11.39240506,20.56962025,28.48101266,34.49367089,38.60759494,5.182984774,0.955896491,10.25063281,10.07689327,0.881063959
19-126-05,CP-Best-P4,SNEP,Ref,-71.718629,41.579676,89.30658025,8/24/2019,100,68.93382353,78.01120448,88.89445349,100,100,0.7407,41.5161,40.869316,0.101761,0.00101761,0.309375,35,1.15,49.08042527,64.99878493,18.01621953,1224.670149,1231.906526,15.43340715,15.11576674,10.22937765,9.777642473,5.018567595,4.434718068,18.22600243,9,73.876063,84.291877,0.876013871,0.789895047,1.558672419,1.215066829,1.558672419,1.499207467,0.086281277,1.591189924,0,1.591189924,1.622490313,0,1.97014893,0,1.97014893,1.85817505,1.85817505,1.714570496,15746.76812,0,15746.76812,0,0,0,0,0,0,0,0,0,0,5,2,0,3,3,15,16,2,12,18,20,7,3,3,3,3,10,10,122,0,0,100,0,95,6.766666667,0.373333333,18.6,0.061,8.3,5.91,1.159616488,1.263393527,1.15,0.029940004,0.145569999,0.101761,326,119,133,79,68,1,1,7,33,3,23,9,2,25,23,1,2,60,0,2,0,8,3,26,2,1,2,28,0,1,0,14,3,0.306748466,0.306748466,6.441717791,2.147239264,0,10.12269939,53.6809816,0,0.306748466,3.067484663,37.42331288,15.03067485,15.03067485,8.588957055,40.79754601,39.26380368,0.613496933,8.588957055,21.05263158,35.44303797,93.86503067,0,1.226993865,2.760736196,6.134969325,4.294478528,43.55828221,0.920245399,1.533742331,45.09202454,24.23312883,15.64417178,1.470588235,1.470588235,10.29411765,48.52941176,33.82352941,13.23529412,36.76470588,33.82352941,1.470588235,88.23529412,0,2.941176471,11.76470588,4.411764706,38.23529412,2.941176471,2.941176471,41.17647059,20.58823529,21,36.50306748,30.88235294,15.95092025,2.147239264,2.521008403,0.840336134,16.80672269,5.882352941,0.613496933,10.12269939,20,12,12,5,8,22.6993865,31.90184049,12.57668712,7.668711656,8.282208589,29.41176471,17.64705882,17.64705882,7.352941176,11.76470588,7,6,25,12,4,3.987730061,4.294478528,51.22699387,8.895705521,9.202453988,10.29411765,8.823529412,36.76470588,17.64705882,5.882352941,8.895705521,14.72392638,20.24539877,24.5398773,28.2208589,5.629111099,0.970586021,11.75068357,11.5778794,0.92470562
19-126-11,CP-Best-P12,SNEP,Ref,-71.7214,41.580375,84.14642111,8/25/2019,90.51724138,80.81896552,64.36781609,100,82.96760711,86.20689655,7.1937,49.7628,49.518085,0.547662,0.00547662,0.087352941,100,1.13,75.69711998,63.54109846,18.67766529,1219.71137,1224.262169,15.41234584,15.26908128,10.09681593,9.753854604,4.776174979,4.233150198,9.871137245,18,83.147754,71.334009,0.800591325,0.747595476,1.056210663,0.788189666,1.056210663,1.081680513,2.995169082,4.651667511,0.72563493,4.651667511,4.673950588,0,4.027273385,1.582259477,4.027273385,1.686550777,1.686550777,1.641126014,4213.822373,0,4213.822373,0,0,0,0,0,0,0,0,0,0,5,2,3,0,3,7,9,2,14,20,20,3,4,5,5,5,10,10,114,0,0,100,0,65,7.976666667,0.466666667,14.8,0.048,9.6,5.04,1.041107113,1.195437413,1.13,0.160740001,0.169770003,0.547662,339,99,163,7,61,1,1,5,26,5,22,12,1,19,19,2,1,49,1,0,0,12,2,21,3,0,0,21,0,0,0,7,4,0.294985251,1.474926254,4.424778761,3.539823009,0.294985251,2.359882006,51.91740413,0,1.474926254,7.079646018,35.10324484,46.01769912,45.72271386,41.2979351,48.08259587,48.08259587,2.064896755,0.294985251,0.613496933,14.28571429,87.31563422,1.179941003,0,5.604719764,12.68436578,1.474926254,49.55752212,1.474926254,0,49.55752212,2.064896755,1.769911504,1.639344262,1.639344262,8.196721311,42.62295082,36.06557377,19.67213115,31.14754098,31.14754098,3.278688525,80.32786885,1.639344262,0,19.67213115,3.278688525,34.42622951,4.918032787,0,34.42622951,11.47540984,19,29.20353982,31.14754098,14.45427729,2.064896755,10.1010101,7.070707071,39.39393939,7.070707071,5.014749263,2.359882006,19,8,16,4,4,53.39233038,20.3539823,9.734513274,4.424778761,2.654867257,31.14754098,13.1147541,26.2295082,6.557377049,6.557377049,4,7,16,17,5,2.064896755,4.424778761,59.2920354,18.87905605,5.604719764,6.557377049,11.47540984,26.2295082,27.86885246,8.196721311,33.62831858,47.19764012,53.09734513,58.1120944,61.6519174,4.17008067,0.856484019,10.47030533,10.29866098,0.703130224
